id,a1,a2,a3,a4,A1,a5,a6,a7,a8,A2,a9,a10,a11,a12,a13,A3,a14,a15,a16,a17,a18,A4,a,b1,b2,b3,b4,b5,b6,b7,b8,B,c1,c2,c3,c4,c5,c6,C,d1,d2,d3,d4,D1,d5,d6,d7,d8,d9,D2,d10,d11,d12,d13,D3,d14,d15,d16,d17,D4,d,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e
1,3,4,3,5,3.75,4,4,5,5,4.5,4,3,3,4,5,3.8,5,5,4,5,5,4.8,4.22,3,5,2,3,2,4,4,5,3.5,4,3,3,4,5,5,4,2,3,5,4,3.5,4,5,5,4,4,4.4,3,3,3,3,3,2,2,2,2,2,3.29,2,1,4,5,3,1,1,1,7,2,2.7
2,5,5,5,5,5,5,5,4,5,4.75,3,3,3,2,4,3,5,5,1,3,4,3.6,4,5,5,5,3,1,1,5,5,3.75,1,1,2,1,2,1,1.33,4,4,4,3,3.75,1,3,1,1,1,1.4,1,1,2,1,1.25,1,2,2,2,1.75,2,2,1,6,5,1,1,1,1,6,1,2.5
3,4,4,4,5,4.25,4,4,5,5,4.5,4,4,4,5,5,4.4,4,4,4,5,5,4.4,4.39,4,4,4,2,4,4,4,4,3.75,4,4,5,5,4,5,4.5,4,4,4,4,4,5,5,4,4,4,4.4,5,5,5,4,4.75,4,4,5,5,4.5,4.41,2,2,2,3,3,2,1,1,7,1,2.4
4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.8,5,5,4,4,4,4.4,4.78,5,5,5,4,4,4,5,5,4.63,4,4,4,2,5,4,3.83,3,1,4,3,2.75,4,5,5,2,2,3.6,4,4,4,4,4,2,2,1,3,2,3.12,2,2,2,1,3,1,1,1,3,1,1.7
5,4,4,5,5,4.5,5,5,5,5,5,5,4,5,5,5,4.8,5,5,4,5,5,4.8,4.78,5,5,5,4,4,4,5,5,4.63,4,4,4,2,5,4,3.83,3,1,4,3,2.75,4,5,4,2,2,3.4,4,4,4,4,4,2,2,1,3,2,3.06,2,2,2,1,3,1,1,1,8,1,2.2
6,3,4,3,5,3.75,4,4,5,5,4.5,4,3,3,4,5,3.8,5,5,4,5,5,4.8,4.22,3,5,4,3,4,4,4,5,4,4,3,3,4,5,5,4,2,3,5,4,3.5,4,5,5,5,4,4.6,3,3,3,3,3,2,2,2,2,2,3.35,2,1,4,5,3,1,1,1,7,2,2.7
7,5,5,5,5,5,3,3,4,5,3.75,4,4,3,3,4,3.6,3,4,4,5,4,4,4.06,5,5,5,4,4,4,5,5,4.63,5,4,2,4,4,4,3.83,3,4,4,4,3.75,4,4,5,5,4,4.4,2,3,2,2,2.25,3,2,2,4,2.75,3.35,2,2,2,6,2,2,1,1,4,1,2.3
8,5,5,5,5,5,2,2,2,5,2.75,2,2,4,2,4,2.8,3,5,3,5,4,4,3.61,5,5,5,5,3,5,5,5,4.75,5,5,4,4,5,5,4.67,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,4.5,4,4,4,4,4,4.41,2,2,4,6,3,1,1,1,3,2,2.5
9,5,5,5,5,5,3,3,4,5,3.75,4,4,3,3,4,3.6,3,4,4,5,4,4,4.06,5,5,5,4,4,4,5,5,4.63,5,4,2,4,4,4,3.83,3,4,4,4,3.75,5,5,5,4,4,4.6,2,3,2,2,2.25,3,2,2,3,2.5,3.35,2,2,2,6,2,2,1,1,6,1,2.5
10,5,5,5,5,5,2,2,2,5,2.75,2,2,4,2,4,2.8,3,5,3,5,4,4,3.61,5,5,5,5,3,5,5,5,4.75,4,4,4,5,5,5,4.5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,3,3.75,4,4,4,4,4,4.24,2,2,4,6,3,1,1,1,7,1,2.8
11,2,4,4,4,3.5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4.17,5,5,5,5,1,5,5,5,4.5,4,4,4,4,5,5,4.33,4,4,4,4,4,5,5,5,5,5,5,3,3,4,3,3.25,4,4,4,4,4,4.12,2,2,4,3,2,4,1,1,1,2,2.2
12,4,4,4,4,4,3,3,4,5,3.75,3,3,3,4,4,3.4,4,5,5,5,5,4.8,4,5,5,4,4,4,4,5,5,4.5,5,4,4,3,3,3,3.67,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,3,3,2,2,2.5,3.94,2,1,4,3,1,2,1,1,7,1,2.3
13,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,3,4,3,4,5,3.8,3.83,5,5,5,5,5,5,4,4,4.75,4,4,2,3,4,4,3.5,4,4,3,4,3.75,4,4,4,3,3,3.6,2,2,2,2,2,3,4,4,4,3.75,3.29,2,1,6,3,2,4,1,2,6,1,2.8
14,5,5,5,5,5,5,5,5,5,5,2,2,2,2,4,2.4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,2,1,1,3,2,1,1.67,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2.12,2,1,4,5,2,4,1,1,8,1,2.9
